product_id,category,model_name,base_price_usd,material_name,aesthetic_tag,length_in,width_in,height_in,clearance_required_sqft,aesthetic_score,water_usage_gpm,power_watts,iot_enabled,eco_score,asset_file
T-001,Toilet,Numi 2.0 Smart Toilet,7150,Ceramic & Glass,Minimalist Modern,26.0,15.0,20.0,12.0,10,1.0,60,1,8,30439IN.obj
T-002,Toilet,Veil Wall-Hung Toilet,4500,Ceramic,Minimalist Modern,25.0,17.0,18.0,10.0,9,0.8,45,1,9,30439IN.obj
T-003,Toilet,Innate Smart Toilet,2800,Ceramic,Japanese Zen,28.0,16.0,21.0,9.0,7,1.28,35,1,7,30439IN.obj
S-001,Shower,Anthem Digital 4-Port Shower Valve & Controls,3800,Brass & Tempered Glass,Minimalist Modern,48.0,48.0,80.0,15.0,10,2.2,30,1,4,33075T-4.obj
S-002,Shower,Statement Luxury Shower Enclosure,1800,Tempered glass,Classic Luxury,48.0,36.0,80.0,12.0,8,1.75,0,0,8,33075T-4.obj
V-001,Vanity,Tailored Double Vanity,2600,Marble & Walnut,Classic Luxury,60.0,22.0,34.0,15.0,10,0.0,0,0,8,
V-002,Vanity,Jute Wall-Hung Vanity,1200,Matte oak,Japanese Zen,36.0,21.0,34.0,10.0,8,0.0,0,0,9,
M-001,Mirror,Verdera Voice Smart Lighted Mirror,950,Glass & Aluminum,Minimalist Modern,34.0,4.0,30.0,2.0,9,0.0,40,1,8,
B-001,Bathtub,Veil Freestanding Cast Resin Tub,4400,Cast Resin,Japanese Zen,70.0,36.0,24.0,25.0,10,0.0,0,0,6,
X-001,Sensor,H2Wise+ Smart Water Leak Monitor,650,Brass & Plastic,Minimalist Modern,6.0,4.0,4.0,0.5,7,0.0,10,1,10,
T-004,Toilet,San Souci Touchless Comfort Height Toilet,1450,Ceramic,Minimalist Modern,27.5,16.5,25.5,9.5,8,1.28,15,1,8,30439IN.obj
T-005,Toilet,Cimarron Two-Piece Elongated Toilet,480,Vitreous China,Transitional,29.5,17.5,30.5,8.5,7,1.28,0,0,7,30439IN.obj
T-006,Toilet,Memoirs Stately Comfort Height Toilet,720,Vitreous China,Classic Luxury,30.0,18.0,31.5,9.0,8,1.28,0,0,7,30439IN.obj
T-007,Toilet,Reach Compact One-Piece Toilet,620,Ceramic,Minimalist Modern,24.0,14.5,27.5,7.5,7,1.28,0,0,8,30439IN.obj
T-008,Toilet,Eir Intelligent Integrated Toilet,5200,Ceramic & Stainless,Japanese Zen,27.0,15.5,21.0,11.0,9,1.0,50,1,9,30439IN.obj
T-009,Toilet,Avoir Tankless Elongated Toilet,3100,Ceramic,Minimalist Modern,26.5,15.0,19.5,9.0,8,0.9,25,0,9,30439IN.obj
T-010,Toilet,Persuade Curv Dual-Flush Toilet,590,Vitreous China,Minimalist Modern,28.5,14.5,28.5,8.0,8,1.0,0,0,9,30439IN.obj
T-011,Toilet,Kathryn 1-Piece Elongated Heritage Toilet,1650,Fireclay,Classic Luxury,30.5,17.0,29.0,9.5,9,1.28,0,0,6,30439IN.obj
T-012,Toilet,Veil Intelligent Dual-Flush Wall Toilet,5800,Ceramic & Glass,Minimalist Modern,26.0,16.0,19.0,10.5,10,0.85,55,1,9,30439IN.obj
T-013,Toilet,Bravura Low-Profile RV/Compact Toilet,390,Composite Resin,Minimalist Modern,23.5,14.0,20.0,6.5,6,1.28,0,0,8,30439IN.obj
T-014,Toilet,Karing 3.0 Smart Bidet Toilet,4100,Ceramic & Polymer,Japanese Zen,27.5,16.0,22.0,10.0,9,1.0,48,1,8,30439IN.obj
T-015,Toilet,Corbelle ContinuousClean XT Toilet,880,Vitreous China,Transitional,29.0,16.5,31.0,8.5,8,1.28,5,0,8,30439IN.obj
T-016,Toilet,Purist Hatbox Ultra-Low Profile Toilet,3400,Vitreous China,Minimalist Modern,25.0,16.0,17.0,9.0,9,1.1,30,1,7,30439IN.obj
T-017,Toilet,Devonshire Comfort Height Classic Toilet,540,Vitreous China,Classic Luxury,29.5,17.0,30.5,8.5,7,1.28,0,0,7,30439IN.obj
T-018,Toilet,Sunstone Matte Black Intelligent Toilet,4900,Matte Ceramic,Industrial Chic,26.5,15.5,20.5,11.0,9,0.95,52,1,9,30439IN.obj
S-003,Shower,HydroRail-R Beam Luxury Shower Column,1250,Brushed Nickel & Brass,Minimalist Modern,42.0,36.0,78.0,12.0,8,2.0,0,0,7,33075T-4.obj
S-004,Shower,DTV+ Digital Thermostatic Shower System,4600,Tempered Glass & Brass,Minimalist Modern,60.0,48.0,84.0,20.0,10,2.5,45,1,5,33075T-4.obj
S-005,Shower,Artifacts Victorian Rainhead Shower System,2100,Polished Chrome & Brass,Classic Luxury,48.0,48.0,82.0,14.0,9,2.2,0,0,6,33075T-4.obj
S-006,Shower,Purist Floor-to-Ceiling Walk-In Glass Enclosure,2400,Tempered Glass & Matte Black,Industrial Chic,60.0,36.0,84.0,18.0,9,1.75,0,0,8,33075T-4.obj
S-007,Shower,Moxie Bluetooth Speaker Showerhead Set,380,Polished Chrome,Minimalist Modern,36.0,36.0,75.0,9.0,7,1.75,10,1,8,33075T-4.obj
S-008,Shower,Loure Multi-Function Waterfall Shower Panel,2900,Brushed Stainless Steel,Japanese Zen,54.0,42.0,80.0,16.0,9,2.0,20,1,6,33075T-4.obj
S-009,Shower,Finial Traditional Luxury Shower Column,1750,Oil-Rubbed Bronze,Classic Luxury,48.0,40.0,78.0,12.0,8,2.2,0,0,6,33075T-4.obj
S-010,Shower,Awaken Mist & Rain Eco-Shower Enclosure,980,Anodized Aluminum & Glass,Minimalist Modern,40.0,40.0,76.0,10.0,8,1.5,0,0,9,33075T-4.obj
S-011,Shower,Sensate Smart Aromatherapy Steam Shower Unit,6200,Smoked Glass & Titanium,Minimalist Modern,60.0,60.0,88.0,25.0,10,2.0,85,1,6,33075T-4.obj
S-012,Shower,Kallista Per Se Minimalist Concealed Shower,3950,Brushed Bronze,Minimalist Modern,48.0,48.0,80.0,15.0,9,1.8,15,1,8,33075T-4.obj
S-013,Shower,Aura Serenity Ceiling Rain Pavilion,5100,Brushed Stainless & Brass,Japanese Zen,72.0,48.0,90.0,24.0,10,2.2,40,1,6,33075T-4.obj
S-014,Shower,Levity Frameless Sliding Shower Door System,1100,Crystal Clear Glass,Transitional,60.0,32.0,76.0,12.0,8,1.75,0,0,8,33075T-4.obj
S-015,Shower,Stillness Square Hydrotherapy Wall Enclosure,2700,Matte Black Steel & Glass,Industrial Chic,48.0,48.0,82.0,15.0,9,2.0,25,1,7,33075T-4.obj
S-016,Shower,Stance Geometric Overhead Shower Column,1450,Polished Chrome,Minimalist Modern,42.0,42.0,78.0,12.0,8,1.75,0,0,8,33075T-4.obj
S-017,Shower,Invigoration Digital Series Steam Generator & Kit,3300,Stainless Steel,Minimalist Modern,50.0,40.0,80.0,15.0,8,1.6,65,1,7,33075T-4.obj
S-018,Shower,Archer Pivot Glass Door Modern Shower Kit,850,Frosted Glass & Chrome,Transitional,36.0,36.0,74.0,9.0,7,1.75,0,0,8,33075T-4.obj
V-003,Vanity,Damask Traditional Single Vanity,1650,Cherry Wood & Quartz,Classic Luxury,36.0,22.0,34.5,10.0,8,0.0,0,0,7,
V-004,Vanity,Jacquard Mid-Century Double Vanity,3100,Walnut & White Quartz,Minimalist Modern,60.0,22.0,34.0,16.0,9,0.0,0,0,8,
V-005,Vanity,Poplin Shaker Style Double Vanity,2200,Solid Ash & Granite,Transitional,60.0,21.5,34.0,15.0,8,0.0,0,0,8,
V-006,Vanity,Harken Floating Wall-Mount Compact Vanity,850,Oak Veneer,Japanese Zen,24.0,18.0,22.0,7.0,7,0.0,0,0,9,
V-007,Vanity,Marabou Curated Triple-Drawer Vanity,2750,Bleached Oak & Marble,Japanese Zen,48.0,22.0,34.0,12.0,9,0.0,0,0,8,
V-008,Vanity,Southerk Industrial Iron Frame Vanity,1850,Cast Iron & Reclaimed Pine,Industrial Chic,42.0,22.0,33.0,11.0,8,0.0,0,0,7,
V-009,Vanity,Verona Italian Carrara Double Vanity,4200,Carrara Marble & Fluted Teak,Classic Luxury,72.0,23.0,35.0,18.0,10,0.0,0,0,7,
V-010,Vanity,Stono Stone Vessel Vanity Console,1400,Basalt & Matte Steel,Japanese Zen,32.0,20.0,32.0,8.5,8,0.0,0,0,8,
V-011,Vanity,Clarity Smart Vanity with Power Outlets,2950,White Oak & Solid Surface,Minimalist Modern,48.0,22.0,34.0,12.0,9,0.0,45,1,8,
V-012,Vanity,Bexley Single Freestanding Vanity,980,Birch Plywood & Ceramic,Scandinavian,30.0,19.0,33.5,8.0,7,0.0,0,0,8,
